 n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity,target
12,219,0.663594467,0.999999992,0.815384609,4,2,1,0,4.680365297,5,0,0,0,0,0,0,0,0,0,496,496,496,0.500331204,0.37827893,0.040004675,0.041262648,0.040122544,0.521617145,0.092561983,0.0456621,0.01369863,0.769230769,0.230769231,0.378636364,0.1,0.7,-0.35,-0.6,-0.2,0.5,-0.1875,0,0.1875,L
13,1072,0.415645617,0.999999999,0.540889526,19,19,20,0,4.682835821,7,0,0,0,0,0,0,0,0,0,545,16000,3151.157895,0.02863281,0.028793552,0.028575185,0.028571675,0.885426778,0.513502123,0.281003476,0.074626866,0.012126866,0.860215054,0.139784946,0.411127435,0.033333333,1,-0.220192308,-0.5,-0.05,0.454545455,0.136363636,0.045454545,0.136363636,L
8,960,0.418162618,0.999999998,0.549833886,21,20,20,0,4.654166667,10,0,0,0,0,0,0,0,0,0,545,16000,3151.157895,0.020081666,0.114705387,0.020024369,0.020015328,0.82517325,0.514480301,0.268302724,0.080208333,0.016666667,0.827956989,0.172043011,0.402038567,0.1,1,-0.224479167,-0.5,-0.05,0,0,0.5,0,L
9,285,0.744186044,0.999999995,0.84153005,4,2,0,21,4.343859649,6,0,0,0,0,0,0,0,0,0,770,22800,11785,0.03338623,0.033426586,0.033351578,0.866498538,0.033337068,0.50974359,-0.053084936,0.028070175,0.052631579,0.347826087,0.652173913,0.4575,0.16,1,-0.337888889,-0.7,-0.1,1,-1,0.5,1,H
8,1118,0.512396694,0.999999999,0.709770114,26,18,12,1,4.703935599,5,0,0,0,0,0,0,0,0,0,555,14000,3904.625,0.040080506,0.04014438,0.040027647,0.839741884,0.040005583,0.57962963,0.056378601,0.041144902,0.025939177,0.613333333,0.386666667,0.504528986,0.1,1,-0.401436782,-1,-0.05,0.566666667,-0.1,0.066666667,0.1,H
8,1207,0.410579345,0.999999999,0.548969071,24,24,42,0,4.716652858,8,0,0,0,0,0,0,0,0,0,545,16000,2829.541667,0.025000582,0.025163367,0.025000551,0.025000235,0.899835265,0.539251643,0.288259179,0.069594035,0.011599006,0.857142857,0.142857143,0.426568491,0.1,1,-0.226785714,-0.5,-0.05,0.5,0,0,0,H
9,391,0.510256409,0.999999996,0.649999997,9,2,1,1,5.296675192,7,0,0,0,0,0,0,0,0,0,704,704,704,0.028774389,0.028577206,0.680662392,0.028573875,0.233412138,0.284210526,0.033333333,0.017902813,0.00511509,0.777777778,0.222222222,0.15,0.05,0.35,-0.108333333,-0.166666667,-0.05,0,0,0.5,0,L
11,1154,0.427304964,0.999999999,0.572815533,20,20,20,0,4.629982669,7,0,0,0,0,0,0,0,0,0,545,16000,3151.157895,0.311931164,0.232677833,0.02857502,0.028574292,0.398241691,0.533657622,0.268667865,0.074523397,0.016464471,0.819047619,0.180952381,0.416342998,0.1,1,-0.230263158,-0.5,-0.05,0,0,0.5,0,L
10,243,0.619246859,0.999999992,0.824427475,1,1,0,0,4.382716049,10,0,0,0,0,0,0,0,0,0,0,0,0,0.020040899,0.02003078,0.020014702,0.020008404,0.919905214,0.517984307,0.155603355,0.049382716,0.020576132,0.705882353,0.294117647,0.333297258,0.136363636,0.6,-0.1775,-0.3125,-0.125,0,0,0.5,0,L
11,723,0.490934448,0.999999998,0.642241378,18,1,1,0,5.228215768,6,0,0,0,0,0,0,0,0,0,0,0,0,0.866656685,0.033337208,0.033335483,0.033335664,0.03333496,0.375048678,0.182696038,0.06362379,0.008298755,0.884615385,0.115384615,0.340572181,0.033333333,1,-0.213888889,-0.6,-0.1,0.5,0.5,0,0.5,L
